gene_name,entry_h,NE Enrich Score in U,NE Enrich Score in A,NE Enrich Score in M
Stt3b,Q8TCJ2,0.47708091575804223,0.3718605281409573,0.5818734196012297
Tmem14c,Q9P0S9,0.4725095779601957,0.5579727967924337,0.6622634977759655
Apmap,Q9HDC9,0.47089407612703255,0.4331270543910491,0.7692434468638397
Nomo1,Q15155,0.46945118461862695,0.38852421671017046,0.6156242576255558
Preb,Q9HCU5,0.45944107625316966,0.4879354901948952,0.5531533923483856
Sel1l,Q9UBV2,0.4459516320054818,0.425896382838655,0.6346946232419641
Alg2,O75340,0.43238120931437773,0.49424847719568094,0.7102093649213709
Sgpl1,O95470,0.4304350121943971,0.46045168954050136,0.5959521466544081
Dhcr7,Q9UBM7,0.424719162188365,0.40882221542556535,0.6485798893789771
Tmem43,Q9BTV4,0.7388337388857177,0.6607883319021107,0.5348738226498856
Dpy19l1,Q2PZI1,0.6364288748026375,0.6799167918735626,0.5311329458265336
Sec63,Q9UGP8,0.6013806325282003,0.5098896019654102,0.5025837637089232
Asph,Q12797,0.5980681639930215,0.3787779287878335,0.4625889488948112
Atp13a1,Q9HD20,0.5947681864541503,0.3919756810384505,0.4528020695338674
Lclat1,Q6UWP7,0.544603742646678,0.353736465512645,0.5958115957915735
Fndc3b,Q53EP0,0.5213625308821106,0.591671244127422,0.6361945171948957
Mlec,Q14165,0.5122223398494814,0.39874047315124483,0.526180979251005
Zmpste24,O75844,0.48167729646166446,0.4028195193155594,0.6259700800321932
Soat1,P35610,0.5223417088555216,0.7800501644692595,0.6777913062678377
Emc3,Q9P0I2,0.5122544400221613,0.4257234811960609,0.4897594705293096
Syne2,Q8WXH0,0.990823560457748,0.8932111382367451,1
Pom121,Q96HA1,0.9900094035695981,0.9386909886978247,1
Syne3,Q6ZMZ3,0.9793711975267639,0.8946666026137249,1
Syne1,Q8NF91,0.971846654884756,0.9255951883873161,0.9796251657068463
Sun1,O94901,0.9655767250399337,0.8338007952960839,0.976783034986516
Lemd3,Q9Y2U8,0.9613635604257867,0.9438324625566685,1
Sun2,Q9UH99,0.9179802527220859,0.8562839971567991,0.9792842699948927
Tmem209,Q96SK2,0.9038618187661478,0.8793833578745339,0.9005772833118943
Lemd2,Q8NC56,0.8546747378355506,0.668287009515802,0.9809776110493695
Ndc1,Q9BTX1,0.6741219781349772,0.7408157810700401,0.8967187880184209
Arl6ip6,Q8N6S5,1,0.8630720202221337,1
Vrk2,Q86Y07,0.9333018522775803,0.730168943563495,0.9074522068438592
Smpd4,Q9NXE4,0.9326996622010799,0.8952355166637649,0.9834446545575042
Tmx4,Q9H1E5,0.93235163174753,0.7924996994952159,0.8441749148981452
Mfsd10,Q14728,0.8988002430764684,0.6870804112924817,0.8869313133412086
Gpaa1,O43292,0.6716569761739278,0.5952643880632975,0.9445205318446639
