UniprotID,GeneName,Schirmer_2003,Korfali_2010,Wilkie_2010,Korfali_2012,Korfali_2012_NE:MM-ratio,Cheng_2019,Cheng_2019_Score:Undiff,Cheng_2019_Score:Adipo,Cheng_2019_Score:Myo,#ProteomePapers
Q9NZM1,Myof,0,0,0,0,0.0,1,0.518054611743163,0.376706629624983,0.2947026429620196,1
P78324,Sirpa,0,0,0,0,0.0,1,0.503467178127473,0.0,0.1122517989730145,1
Q13445,Tmed1,0,0,0,0,0.0,1,0.6251016473198835,0.504760530153991,0.1995590426794143,1
Q8WWQ0,Wdr11,0,0,0,0,0.0,1,0.1252773056950573,0.6527778390302096,0.5146671833989175,1
Q9HAW7,Ugt1a7,0,0,0,0,0.0,1,0.5474553366891083,0.5442531210262214,0.2950597727266171,1
Q92504,Slc39a7,0,0,0,0,0.0,1,0.1414229946970238,0.6790887787816008,0.4315604474528847,1
O60476,Man1a2,0,0,0,0,0.0,1,0.0352394000818893,0.5623738696090519,0.3556401741748875,1
Q96K37,Slc35e1,0,0,0,0,0.0,1,0.4906277294265825,0.5404188454333777,0.169297608736486,1
O60704,Tpst2,0,0,0,0,0.0,1,0.2941244209199236,0.6768569769704201,0.1293491554883279,1
Q9BU23,Lmf2,0,0,0,0,0.0,1,0.2321753228990054,0.6316175965694837,0.098456934080346,1
P17342,Npr3,0,0,0,0,0.0,1,0.1876382790905035,0.570763285305782,0.0,1
Q9HD45,Tm9sf3,0,0,0,0,0.0,1,0.1359016347382781,0.5426445365390895,0.2663152921861108,1
Q8N2U0,Tmem256,0,0,0,0,0.0,1,0.0,0.5863034971458942,0.0,1
Q68CQ7,Glt8d1,0,0,0,0,0.0,1,0.0,0.5450724522119771,0.0,1
O14817,Tspan4,0,0,0,0,0.0,1,0.0,0.6088881774941896,0.0,1
Q9UPQ8,Dolk,0,0,0,0,0.0,1,0.0,0.576442985155056,0.0,1
Q8WUH6,Tmem263,0,0,0,0,0.0,1,0.0,0.6072236075505432,0.1915359291063102,1
P61803,Dad1,0,0,0,0,0.0,1,0.5736830116665687,0.6375802452171276,0.0524136230371128,1
Q9BW72,Higd2a,0,0,0,0,0.0,1,0.4326704883354517,0.7301586199196493,0.1175658567841923,1
O95070,Yif1a,0,0,0,0,0.0,1,0.4013439043640474,0.6358911224207056,0.1296899099752769,1
Q8NEW0,Slc30a7,0,0,0,0,0.0,1,0.3536272997183898,0.5875293823088845,0.1009679368664393,1
O00519,Faah,0,0,0,0,0.0,1,0.3533635673416508,0.7664408092498254,0.2415137550706581,1
Q9Y679,Aup1,0,0,0,0,0.0,1,0.3168010477267005,0.514482145868848,0.0,1
Q06481,Aplp2,0,0,0,0,0.0,1,0.2034492768422003,0.5448838081658384,0.1401846768902442,1
Q9NQ34,Tmem9b,0,0,0,0,0.0,1,0.1669760593663034,0.5517966909604534,0.0,1
Q14108,Scarb2,0,0,0,0,0.0,1,0.1526393124323632,0.5009459270903575,0.025800159176633,1
P23470,Ptprg,0,0,0,0,0.0,1,0.0356006333658729,0.5711538183811056,0.0,1
Q8N9M1,C19orf47,0,0,0,0,0.0,1,0.187177954704946,0.5731584135373231,0.6000255905859431,1
Q9HAS0,C17orf75,0,0,0,0,0.0,1,0.1049287921085713,0.6154451496020118,0.4129802326635315,1
Q9BRJ6,C7orf50,0,0,0,0,0.0,1,0.0846130962167727,0.0,0.671931550068263,1
Q9H425,C1orf198,0,0,0,0,0.0,1,0.0598448433215895,1.0,0.5726746355753372,1
Q9Y224,RTRAF,0,0,0,0,0.0,1,0.0,0.5441114850008777,0.6039697669167804,1
Q86VD7,Slc25a42,0,0,0,0,0.0,1,0.0,0.2313888019994063,0.8869313206622609,1
Q9GZM5,Yipf3,0,0,0,0,0.0,1,0.1573566933430447,0.0,0.7708223363100128,1
Q6ZRP7,Qsox2,0,0,0,0,0.0,1,0.0232304205678867,0.2420539017939175,0.6530090141278658,1
Q8WZA1,Pomgnt1,0,0,0,0,0.0,1,0.0,0.0754505302313468,0.6233205957863935,1
Q9BPX6,Micu1,0,0,0,0,0.0,1,0.0924495566372425,0.0829573441099342,0.5288161977453768,1
Q96N66,Mboat7,0,0,0,0,0.0,1,0.6042373852891462,0.3585275298837922,0.889285608359504,1
Q9ULC5,Acsl5,0,0,0,0,0.0,1,0.4082373372761373,0.2458015743704544,0.7585969643909581,1
